publishedAt,authorDisplayName,textDisplay,likeCount;;;;;;;;;
2023-05-11T01:19:30Z,Nasrun SMD,Bagi saya cuman ada calon ofsi yang bisa di pilih. Pak.Prabowo dan Pak Ganjar.,0;;;;;;;;;
2023-05-11T00:00:41Z,Zaen Arif,Konten pkokkkkkk,0;;;;;;;;;
"2023-05-10T23:32:22Z,Ama agus Kudrotilah,""Wajah koruptor mnyesakan Dada,,,kalo mbunuh di bolehkan ,,,😅akan koruptor diduluin,,,😂"",0";;;;;;;;;
"2023-05-10T23:28:28Z,Ama agus Kudrotilah,""Kasihan lambang Islam dukung ci porno yg tiada akhlaq tiada adab,,otax cabul mau djadikan pmimpin,,,parah negeri ini akan jadi negri binatang,,,gada morall,,,gantung koruptr"",0";;;;;;;;;
2023-05-10T22:25:41Z,Bbg Susilo,Setuju banget,0;;;;;;;;;
"2023-05-10T20:05:26Z,Eko Waluyo,""4 pun oke, spy lebih fokus nantinya.<br>ingin perubahan yg hakiki lebih baik."",0";;;;;;;;;
2023-05-10T15:34:31Z,Prof. Dr. dr. H SUGIONO,Saya pilih saya,0;;;;;;;;;
2023-05-10T14:08:07Z,Mulyadi Idrus,SALAM DAMAI SEMOGA DPT YG TRRBAIK,1;;;;;;;;;
2023-05-10T13:17:48Z,Ari Torong,4? Klo lolos ..🤣🤣,0;;;;;;;;;
2023-05-10T12:38:29Z,Hasyim Dul,4 capres 3 capres yg bertarung Cuma 2 capres Anis  dan Ganjar,0;;;;;;;;;
2023-05-10T12:34:52Z,Silvia Seprina,Saya pilihan bangsa Indonesia,0;;;;;;;;;
"2023-05-10T11:22:38Z,Bulan Sabit,""Untuk kebaikan bangsa yang kedepannya ada potensi untuk perang, saya pilih Prabowo beliau punya relasi banyak, dan tentara bakal Jaya"",0";;;;;;;;;
"2023-05-10T11:20:03Z,Rajawali'88,""Kami rakyat jawa tengah tidak akan mau pilih Ganjar dan atau partai pengusungnya...karena kami rakyat jawa tengah sdh merasakan dipimpin Ganjar spt apa, jawa tengah malah jd daerah tertinggal...kl Indonesia dipimpin Ganjar, bisa2 Indonesia levelnya dibawah Timoer Leste....😅😅😅😅😅"",0";;;;;;;;;
2023-05-10T09:47:00Z,Aswin Yuniar,Pak  anies  pilihanku,0;;;;;;;;;
2023-05-10T07:09:09Z,M.rabiul Fazry,Ridwan Kamil ada tidak si,0;;;;;;;;;
2023-05-10T06:28:17Z,Ki elang pamungkas,puan ok ganjar no masa putri mahkota kalah sm pembtunya,0;;;;;;;;;
2023-05-10T05:02:01Z,Oki Sumpena,BANYAK CAPRES.BANYAK PARTAI.BONCOSS.ANGGARAN. BUANG2 DUIT,0;;;;;;;;;
"2023-05-10T01:00:51Z,Abdul Qorib,""kalau rakyat indonesia mau ya coba cari parte yg bisa mengusung p mahfud md sebagai CAPRES  CAPRES ya bukan wakil,bukan waaakil !!!!.p mafud md jelas santrinya jelas profesornya,jelas keberaniannya melawan kedloliman,koroptor,dan kejujurannya,boleh diintip biografinya beliau.😎😎😎😎👍👍👍👍👌👌👌👌"",0";;;;;;;;;
"2023-05-10T00:49:45Z,Abdul Qorib,""kalau islamnya pasti 100000000 benar baik,tapi bagi orang islamnya  1/2 aja belum tentu baik.apalagi yg digadang jadi pemimpin berani gadekan islam ,wahhh 6......!!!!🙆🙆🙆"",0";;;;;;;;;
